Bookmark,Frame#,Chan,Type,AddrTypeI,InitA/ScanA,AddrTypeA,AdvA,Len,Frame Size,Delta,Timestamp,
,1,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,="",="5/11/2020 10:39:14.841996 AM",
,2,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:14.843496 AM",
,3,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:14.844996 AM",
,4,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.687005",="5/11/2020 10:39:15.532001 AM",
,5,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:15.533501 AM",
,6,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:15.535001 AM",
,7,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.689505",="5/11/2020 10:39:16.224506 AM",
,8,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:16.226006 AM",
,9,38 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:16.226530 AM",
,10,38 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:16.226854 AM",
,11,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.000652",="5/11/2020 10:39:16.227507 AM",
,12,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.689505",="5/11/2020 10:39:16.917012 AM",
,13,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:16.918512 AM",
,14,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:16.920012 AM",
,15,39 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:16.920535 AM",
,16,39 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:16.920860 AM",
,17,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.692407",="5/11/2020 10:39:17.613267 AM",
,18,37 ,SCAN_REQ,(rand),0x7a9411c9c442,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000527",="5/11/2020 10:39:17.613794 AM",
,19,37 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:17.614119 AM",
,20,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.000648",="5/11/2020 10:39:17.614767 AM",
,21,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:17.616267 AM",
,22,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.685755",="5/11/2020 10:39:18.302022 AM",
,23,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:18.303522 AM",
,24,38 ,SCAN_REQ,(rand),0x6bc2f6465f56,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:18.304045 AM",
,25,38 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:18.304370 AM",
,26,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.000652",="5/11/2020 10:39:18.305022 AM",
,27,39 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:18.305545 AM",
,28,39 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:18.305870 AM",
,29,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.692407",="5/11/2020 10:39:18.998277 AM",
,30,37 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:18.998800 AM",
,31,37 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:18.999125 AM",
,32,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.000652",="5/11/2020 10:39:18.999777 AM",
,33,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:19.001277 AM",
,34,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.688255",="5/11/2020 10:39:19.689532 AM",
,35,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:19.691032 AM",
,36,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:19.692532 AM",
,37,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.687005",="5/11/2020 10:39:20.379537 AM",
,38,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:20.381037 AM",
,39,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:20.382537 AM",
,40,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.684505",="5/11/2020 10:39:21.067042 AM",
,41,37 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:21.067565 AM",
,42,37 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:21.067890 AM",
,43,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.000652",="5/11/2020 10:39:21.068542 AM",
,44,38 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000848",="5/11/2020 10:39:21.069390 AM",
,45,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.000652",="5/11/2020 10:39:21.070042 AM",
,46,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.687005",="5/11/2020 10:39:21.757048 AM",
,47,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:21.758548 AM",
,48,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:21.760048 AM",
,49,39 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:21.760571 AM",
,50,39 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:21.760896 AM",
,51,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.686157",="5/11/2020 10:39:22.447053 AM",
,52,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:22.448553 AM",
,53,38 ,SCAN_REQ,(rand),0x7a9411c9c442,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000526",="5/11/2020 10:39:22.449079 AM",
